defect_type,images,detected,detection_rate,precision,recall,f1,iou
good,41,14,0.3415,0.0000,0.0000,0.0000,0.0000
manipulated_front,24,24,1.0000,0.4012,0.7284,0.5174,0.3490
scratch_head,24,24,1.0000,0.4035,0.9596,0.5682,0.3968
scratch_neck,25,21,0.8400,0.5209,0.6849,0.5917,0.4202
thread_side,23,10,0.4348,0.1742,0.0856,0.1148,0.0609
thread_top,23,22,0.9565,0.4718,0.5538,0.5095,0.3419
