defect_type,images,detected,detection_rate,precision,recall,f1,iou
color,19,4,0.2105,0.6667,0.0805,0.1436,0.0774
cut,19,16,0.8421,0.4751,0.7524,0.5824,0.4109
fold,17,14,0.8235,0.8561,0.3936,0.5393,0.3692
glue,19,15,0.7895,0.4322,0.8241,0.5670,0.3957
good,32,0,0.0000,0.0000,0.0000,0.0000,0.0000
poke,18,18,1.0000,0.3856,0.9397,0.5468,0.3763
