image_threshold,border_margin,min_area,morphology_kernel,merge_distance,fp_rate,fp_count,avg_fp_pixels,avg_fp_regions,passes_fp_constraint
2.96,5,35,3,15.0,0.0204,1,11.67,0.041,True
2.96,5,40,3,15.0,0.0204,1,11.67,0.041,True
2.96,5,50,3,15.0,0.0204,1,11.67,0.041,True
2.9,5,35,3,15.0,0.0204,1,11.67,0.041,True
2.9,5,40,3,15.0,0.0204,1,11.67,0.041,True
2.9,5,50,3,15.0,0.0204,1,11.67,0.041,True
