defect_type,images,detected,detection_rate,precision,recall,f1,iou
bent_lead,10,10,1.0000,0.1406,0.6995,0.2341,0.1326
cut_lead,10,2,0.2000,0.0533,0.0485,0.0508,0.0260
damaged_case,10,5,0.5000,0.4109,0.5337,0.4644,0.3024
good,60,14,0.2333,0.0000,0.0000,0.0000,0.0000
misplaced,10,8,0.8000,0.6926,0.3806,0.4912,0.3256
