Metric,Value
category,transistor
image_auroc,0.82
pixel_precision,0.43535287052932276
pixel_recall,0.3898149076360853
pixel_f1,0.41132735306703677
pixel_iou,0.25891259213226286
calibrated_image_threshold,2.69
calibrated_pixel_threshold,0.88
total_test_images,100
normal_images,60
defective_images,40
detected_defective,25
detection_rate,0.625
normal_false_positives,14
normal_accuracy,0.7666666666666667
tp_pixels,128322
fp_pixels,166432
fn_pixels,200865
use_spatial_prior,True
